,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
346,Senior Principal Clinical Data Scientist,$121K - $172K (Glassdoor est.),"Bachelor of Science (BSc) from an accredited institution in Statistics, Mathematics, Computer Science or related field (Psychology, Data Science, Finance, etc.)……
Skills: English, Clinical trials, Agile, Data science, Project leadership",4.2,"BI Pharmaceuticals, Inc.","Ridgefield, CT",1001 to 5000 Employees,1885,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,121,172,146.5,Ridgefield,135,0,0,0,0,0,data scientist,senior,236
347,Principal Statistician,$118K - $156K (Glassdoor est.),"Provide SDS support to experimental design, modeling, analysis planning, analysis execution, interpretation, and statistical communications.…
Skills: Clinical trials, Research & development",4.2,Johnson & Johnson,"Spring House, PA",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,118,156,137.0,Spring House,133,0,0,0,0,0,na,senior,189
348,Principal Applied AI/ML Manager,$138K - $294K (Employer est.),"This role demands deep technical innovation and collaboration across Microsoft research and CXP product and business teams to forge novel methods, tools, and……
Skills: TensorFlow, Statistics, Management, Google Cloud Platform, Research",4.2,Microsoft,"Atlanta, GA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,0,138,294,216.0,Atlanta,45,0,0,0,0,0,manager,senior,235
349,Senior Scientist Research Computing - Data Scientist (Biomedical and Clinical Informatics),$108K - $158K (Employer est.),"In partnership with the research community and other biomedical and clinical informatics specialists, the successful candidate will manage and analyze data……
Skills: TensorFlow, SAS, Software deployment, R, Data analysis skills",4.1,Rutgers University,"Piscataway, NJ",10000+ Employees,1766,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,108,158,133.0,Piscataway,254,0,0,0,0,0,data scientist,senior,227
350,Applied Machine Learning Researcher,$130K - $150K (Employer est.),"Working with ML and data engineers to design, build, and maintain datasets for training and evaluating AI/ML algorithms, tools, and products.…
Skills: Application development, Machine learning, AI, Python",4.2,Latham & Watkins LLP,"Los Angeles, CA",1001 to 5000 Employees,1972,Company - Private,Legal,Legal,$1 to $5 billion (USD),0,0,130,150,140.0,Los Angeles,48,1,0,0,0,0,mle,na,204
351,"Data Scientist | NLP, ML Models, AI Algorithms | Top Secret or TS/SCI | Washington DC",$89K - $148K (Employer est.),"Experience presenting to clients or other decision makers to present and sell ideas to various audiences (technical and non-technical).…
Skills: R, Presentation skills, C, Machine learning, Natural language processing",4.0,Deloitte,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD),0,0,89,148,118.5,Rosslyn,170,0,0,0,0,0,data scientist,na,217
352,Oceanography Data Science Research Specialist,$85K - $103K (Employer est.),"The Researcher applies computational, computer science, data science, and CI software research and development principles, with relevant domain science……
Skills: Management, Continuous integration, Software development, Counterintelligence, UI",4.2,UC San Diego,"San Diego, CA",10000+ Employees,1960,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,85,103,94.0,San Diego,60,0,0,0,0,0,na,na,243
353,Principal - Data Scientist - Credit Card Quantitative Modeling,$145K - $180K (Employer est.),"End-to-end ownership of the model development process: business problem understanding, conceptual model design, data exploration, model build and validation,……
Skills: SAS, SQL, Data analytics, Communication skills, Python",3.8,Ally Financial,"Wilmington, DE",10000+ Employees,1919,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),0,0,145,180,162.5,Wilmington,101,1,0,0,0,0,data scientist,senior,222
354,"Manager, Clinical Data Scientist, Clinical Data Sciences",$84K - $156K (Employer est.),"Participates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF,……
Skills: Microsoft Access, Oracle, Clinical research, Relational databases, Microsoft SQL Server",3.9,Pfizer,"Bothell, WA",Unknown,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,84,156,120.0,Bothell,171,0,0,0,0,0,data scientist,na,255
355,"Manager, Data Science (Core)",$285K - $321K (Employer est.),"Own the technical vision and direction for your data science team (directly manage 5+ data scientists, with opportunities for team growth in the future).…
Skills: Statistics, Management, R, SQL, A/B testing",3.9,"Grammarly, Inc.",United States,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,285,321,303.0,United States,11,0,0,0,0,0,manager,na,206
356,"Staff Software Engineer, Machine Learning, YouTube",$189K - $284K (Employer est.),"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking……
Skills: TensorFlow, Data structures, Machine learning, Distributed systems, Natural language processing",4.4,YouTube,"San Bruno, CA",1001 to 5000 Employees,2005,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,189,284,236.5,San Bruno,15,0,0,0,0,0,mle,na,265
357,Principal Data Scientist,$178K - $233K (Glassdoor est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: Live chat, R, Tableau, SQL, Analysis skills",3.9,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,0,0,178,233,205.5,San Francisco,18,0,0,0,0,0,data scientist,senior,211
358,Applied AI ML- Vice President,$147K - $260K (Employer est.),"Develop state-of-the art machine learning models to solve real-world problems and apply it to tasks such as NLP, speech recognition and analytics, or……
Skills: Machine learning, Product management, Continuous integration, Natural language processing, Clustering",4.0,JPMorgan Chase & Co,"New York, NY",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,147,260,203.5,New York,221,0,0,0,0,0,na,na,261
359,"(USA) Senior, Data Scientist (Computer Vision Engineer)",$108K - $216K (Employer est.),"Option 1- Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience……
Skills: Web accessibility, TensorFlow, Computer science, Computer vision, Spark",3.4,Walmart,"Hoboken, NJ",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,0,108,216,162.0,Hoboken,58,0,0,1,0,0,data scientist,senior,242
360,Senior Professional Data Analyst,$69K - $99K (Employer est.),"Reviews and edits data requirements and documents according to required standards by utilizing prescribed tools and methods to ensure that design and……
Skills: Authentication, Statistical software, Operating systems, Management, Relational databases",3.1,Gainwell Technologies LLC,Illinois,10000+ Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,69,99,84.0,Illinois,0,0,0,0,0,0,analyst,senior,249
361,Sr. Data Analyst - Data Scientist,$91K - $127K (Glassdoor est.),"In addition, the Data Analyst-Data Scientist will be responsible for using applied statistics to develop solutions, data mining, data analysis, data……
Skills: Statistics, Computer science, Data mining, SAS, Statistical analysis",4.5,Assurety Consulting Inc,"Washington, DC",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,0,0,91,127,109.0,Washington,-1,0,0,0,0,0,data scientist,senior,227
362,Senior Data Scientist – Underwriting Innovation & Product Analytics (Remote),$140K - $189K (Employer est.),"Education : Advanced degree (Master's degree or PhD) in Data Science or a related quantitative field, or relevant certifications in data science (e.g., AWS……
Skills: CI/CD, Computer science, Management, Business intelligence, Big data",3.6,Thrivent,Remote,5001 to 10000 Employees,1902,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,0,140,189,164.5,Remote,118,0,0,0,1,0,data scientist,senior,234
363,Principal Data Scientist,$138K - $294K (Employer est.),"Leverages expert-level proficiency of big-data software engineering concepts, such as Hadoop Ecosystem, Apache Spark, continuous integration and continuous……
Skills: CI/CD, Sales, Spark, Data analysis skills, Research",4.2,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,0,138,294,216.0,United States,45,0,0,1,0,0,data scientist,senior,217
364,Principal Data Scientist (US-Remote),$158K - $243K (Employer est.),"Master’s degree or PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, Physics, etc.).…
Skills: TensorFlow, Statistics, Azure, Computer vision, Spark",4.1,Hewlett Packard,"Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,158,243,200.5,Spring,81,0,0,1,0,0,data scientist,senior,216
365,"Senior Data Scientist / Credit Risk, Global Risk Decision Science",$113K - $150K (Employer est.),"Solid understanding of credit risk-drivers in small and medium sized businesses, public firms, and private firms, including data typically used in credit risk……
Skills: CI/CD, Management, R, SQL, AWS",3.6,WEX Inc.,Remote,1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,0,113,150,131.5,Remote,37,0,0,0,1,0,data scientist,senior,199
