Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel
Data Scientist,$175K - $235K (Employer est.),"Assist FDA scientists in the aggregation and visualization of FDAs internal clinical trial datasets to facilitate regulatory science and advance innovative……
Skills: MATLAB, SAS, R, Machine learning, CDISC standards",2.8,Brillient Corporation,"Silver Spring, MD",1001 to 5000 Employees,0,0,175,235,205.0,Silver Spring,0,0,0,0,0
Data Scientist- Growth,$165K - $220K (Employer est.),"Proficiency in SQL, Python, and other data manipulation tools and techniques. Collaboration: Work cross-functionally with product managers, marketers, and……
Skills: SQL, Communication skills, Python, Analytics",4.5,Statsig,"Bellevue, WA",51 to 200 Employees,0,0,165,220,192.5,Bellevue,1,0,0,0,0
"Associate Director, People Data and AI",$135K - $197K (Glassdoor est.),"I have extensive experience in HR analytics, AI, or a related field, with a demonstrable track record of leading successful data-driven projects in an HR……
Skills: R, Alteryx, Statistical analysis, Analysis skills, Human resources",3.5,Kraft Heinz Company,"Chicago, IL",10000+ Employees,0,0,135,197,166.0,Chicago,0,0,0,0,0
Staff Data Scientist,$140K - $268K (Employer est.),"10+ years of work experience in data science or another related field. Communicate effectively and manage relationships with partners coming from both technical……
Skills: Statistics, Web analytics, Big data, Spark, R",4.2,Adobe,"San Jose, CA",10000+ Employees,0,0,140,268,204.0,San Jose,0,0,1,0,0
Principal Data Scientist (NLP/LLM/GenAI),$112K - $199K (Employer est.),"Regarded as an advanced professional in the data science field. Provide independent data science, machine learning, and analytical insights using member,……
Skills: Statistics, Azure, Data mining, SAS, Spark",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,0,0,112,199,155.5,Vienna,0,0,1,0,0
"Machine Learning Engineer, 3D Computer Vision, Self-Driving",$116K - $360K (Employer est.),"Strict adherence to strong software engineering practices to develop novel work quickly and safely. You will utilize Tesla’s enormous compute and data……
Skills: TensorFlow, Calculus, Machine learning, Geometry, Deep learning",3.5,Tesla,"Palo Alto, CA",10000+ Employees,0,0,116,360,238.0,Palo Alto,0,0,0,0,0
Quantitative Analytics Senior (Hybrid- 3 Days in Office),$118K - $178K (Employer est.),"Doctorate degree, or Master degree with 3 years of equivalent work experience, in statistics, economics or a related quantitative field.…
Skills: Statistics, SAS, Relational databases, Writing skills, R",3.6,Freddie Mac,"McLean, VA",5001 to 10000 Employees,0,0,118,178,148.0,McLean,0,0,0,0,0
"AIML - Senior Machine Learning Engineer/Scientist, Siri and Information Intelligence",$176K - $312K (Employer est.),"You will also work with researchers and data scientists to develop, fine-tune, and evaluate domain specific Large Language Models for various tasks and……
Skills: Computer science, Data mining, Go, Management, Spark",4.1,Apple,"Cupertino, CA",10000+ Employees,0,0,176,312,244.0,Cupertino,0,0,1,0,0
"Sr Data Scientist, Product Analytics - USDS",$167K - $220K (Glassdoor est.),"Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences. Previous 5 years of full-time experience.…
Skills: Management, Social media management, R, SQL, Analysis skills",3.3,TikTok,"Mountain View, CA",10000+ Employees,0,0,167,220,193.5,Mountain View,0,0,0,0,0
"Research Director, Data Management",$140K - $170K (Employer est.),"Utilize knowledge of key digital transformation drivers as well as key enterprise IT challenges in data management across diverse areas such as database cloud……
Skills: Database management, Market research, Financial report interpretation, Organizational skills, AI",3.2,"International Data Group, Inc.",Remote,1001 to 5000 Employees,0,0,140,170,155.0,Remote,0,0,0,0,0
